,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
130,130,محل للإيجار في حي بدر ، الرياض ، الرياض,"120,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/حي-بدر-الرياض-الرياض-3527986,3 شوارع,,
131,131,محل للإيجار في طريق ديراب الفرعي ، حي ديراب ، الرياض ، الرياض,"45,000 ريال",20 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-أحد/طريق-ديراب-الفرعي-حي-ديراب-الرياض-الرياض-3606876,جنوب شرقي,,
132,132,محل للإيجار في شارع لزمة ، حي السلي ، الرياض ، الرياض,"80,000 ريال",120 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-لزمة-حي-السلي-الرياض-الرياض-3561684,شرق,37 م,جديد
133,133,محل للإيجار في حي عكاظ ، الرياض ، الرياض,"100,000 ريال",1600 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-عكاظ/حي-عكاظ-الرياض-الرياض-3767565,3 شوارع,,
134,134,محل للإيجار في شارع وادي الجزي ، حي بدر ، الرياض ، الرياض,"125,000 ريال",480 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-الجزي-حي-بدر-الرياض-الرياض-3559882,شمال,60 م,جديد
135,135,محل للإيجار في شارع الشباب ، حي العزيزية ، الرياض ، الرياض,"100,000 ريال",360 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-الشباب-حي-العزيزية-الرياض-الرياض-3689565,شرق,36 م, 15 سنة
136,136,محل للإيجار في طريق ابن تيمية ، حي بدر ، الرياض ، الرياض,"180,000 ريال",170 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-ابن-تيمية-حي-بدر-الرياض-الرياض-3334040,شمال غربي,,
137,137,محل للإيجار في شارع شهاب الدين بن المظفر ، حي العزيزية ، الرياض ، الرياض,"500,000 ريال",3064 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-شهاب-الدين-بن-المظفر-حي-العزيزية-الرياض-الرياض-3518810,3 شوارع,40 م,جديد
138,138,محل للإيجار في حي الدار البيضاء ، الرياض ، الرياض,"12,000 ريال",200 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-الدار-البيضاء-الرياض-الرياض-3307690,شمال,36 م, 3 سنة
139,139,محل للإيجار في شارع ابن عامر ، حي الاسكان ، الرياض ، الرياض,"70,000 ريال",6 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الاسكان/شارع-ابن-عامر-حي-الاسكان-الرياض-الرياض-3535242,جنوب,,
140,140,محل للإيجار في حي عريض ، الرياض ، الرياض,"100,000 ريال",510 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-عريض/حي-عريض-الرياض-الرياض-3305685,شمال,,
141,141,محل للإيجار في شارع محمد هلال سنبل ، حي بدر ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-هلال-سنبل-حي-بدر-الرياض-الرياض-3393117,جنوب غربي,35 م, 2 سنة
142,142,محل للإيجار في شارع شهاب الدين بن المظفر ، حي العزيزية ، الرياض ، الرياض,"500,000 ريال",3064 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-شهاب-الدين-بن-المظفر-حي-العزيزية-الرياض-الرياض-3518810,3 شوارع,40 م,جديد
143,143,محل للإيجار في شارع محمد هلال سنبل ، حي بدر ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-هلال-سنبل-حي-بدر-الرياض-الرياض-3409616,جنوب غربي,35 م, 2 سنة
144,144,محل للإيجار في حي الدار البيضاء ، الرياض ، الرياض,"12,000 ريال",200 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-الدار-البيضاء-الرياض-الرياض-3307690,شمال,36 م, 3 سنة
145,145,محل للإيجار في شارع محمد هلال سنبل ، حي بدر ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-هلال-سنبل-حي-بدر-الرياض-الرياض-3406236,جنوب غربي,35 م, 2 سنة
146,146,محل للإيجار في شارع محمد هلال سنبل ، حي بدر ، الرياض ، الرياض,"35,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-محمد-هلال-سنبل-حي-بدر-الرياض-الرياض-3396450,جنوب غربي,35 م, 2 سنة
147,147,محل للإيجار في حي ، شارع محمد رشيد رضا ، حي الدار البيضاء ، الرياض ، الرياض,"500,000 ريال",1370 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-شارع-محمد-رشيد-رضا-حي-الدار-البيضاء-الرياض-الرياض-3313390,جنوب غربي,40 م, 4 سنة
148,148,محل للإيجار في شارع ابن عامر ، حي الاسكان ، الرياض ، الرياض,"70,000 ريال",6 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الاسكان/شارع-ابن-عامر-حي-الاسكان-الرياض-الرياض-3535242,جنوب,,
